Date,Description,Amount
2024-03-13,Coffee Shop,-16
2024-03-14,Amazon Order,-289
2024-03-15,Restaurant Dinner,-102
2024-03-16,Grocery Store,-198
2024-03-17,Cinema Tickets,-38
2024-03-18,Uber Ride,-44
2024-03-19,Water Bill,-55
2024-03-20,Zara Clothing,-310
2024-03-21,Grocery Store,-225
2024-03-22,Coffee Shop,-13
2024-03-23,Amazon Order,-156
2024-03-24,Restaurant Lunch,-64
2024-03-25,Train Ticket,-85
2024-03-26,Pharmacy,-29
2024-03-27,Grocery Store,-188
2024-03-28,YouTube Premium,-13.99
2024-03-29,Gas Station,-102
2024-03-30,Gym Membership,-80
2024-03-31,Amazon Order,-225
2024-04-01,Monthly Salary,50000
2024-04-02,Rent Payment,-4500
2024-04-03,Electricity Bill,-140
2024-04-03,Internet Bill,-85
2024-04-04,Uber Ride,-22
2024-04-04,Starbucks Coffee,-12
2024-04-05,Pizza Hut,-38
2024-04-05,Amazon Order,-198
2024-04-06,Netflix,-15.99
2024-04-06,Spotify,-9.99
2024-04-07,Grocery Store,-245
2024-04-08,Uber Ride,-33
2024-04-08,Japanese Restaurant,-115
2024-04-09,Nike Clothing,-265
2024-04-10,Phone Bill,-65
2024-04-11,Gym Membership,-80
2024-04-12,Grocery Store,-208
2024-04-13,Uber Ride,-28
2024-04-13,Coffee Shop,-14
2024-04-14,Amazon Order,-342
2024-04-15,Restaurant Dinner,-88
2024-04-16,Grocery Store,-215
2024-04-17,Cinema Tickets,-44
2024-04-18,Uber Ride,-36
2024-04-19,Water Bill,-55
2024-04-20,H&M Clothing,-188
2024-04-21,Grocery Store,-232
2024-04-22,Coffee Shop,-15
2024-04-23,Amazon Order,-89
2024-04-24,Restaurant Lunch,-72
2024-04-25,Uber Ride,-21
2024-04-26,Pharmacy,-44
2024-04-27,Grocery Store,-195
2024-04-28,YouTube Premium,-13.99
2024-04-29,Gas Station,-98
2024-04-30,Freelance Bonus Income,5000
2024-05-01,Monthly Salary,50000
2024-05-02,Rent Payment,-4500
2024-05-03,Electricity Bill,-125
2024-05-03,Internet Bill,-85
2024-05-04,Uber Ride,-27
2024-05-04,Starbucks Coffee,-13
2024-05-05,Subway,-16
2024-05-05,Amazon Order,-312
2024-05-06,Netflix,-15.99
2024-05-06,Spotify,-9.99
2024-05-07,Grocery Store,-258
2024-05-08,Flight Ticket,-680
2024-05-09,Hotel Booking,-520
2024-05-10,Phone Bill,-65
2024-05-11,Doctor Visit,-175
2024-05-12,Grocery Store,-222
2024-05-13,Uber Ride,-31
2024-05-13,Coffee Shop,-16
2024-05-14,Amazon Order,-445
2024-05-15,Restaurant Dinner,-125
2024-05-16,Grocery Store,-238
2024-05-17,Amusement Park,-180
2024-05-18,Uber Ride,-42
2024-05-19,Water Bill,-55
2024-05-20,Zara Clothing,-420
2024-05-21,Grocery Store,-248
2024-05-22,Coffee Shop,-14
2024-05-23,Amazon Order,-178
2024-05-24,Restaurant Lunch,-68
2024-05-25,Train Ticket,-110
2024-05-26,Pharmacy,-38
2024-05-27,Grocery Store,-212
2024-05-28,YouTube Premium,-13.99
2024-05-29,Gas Station,-105
2024-05-30,Gym Membership,-80
2024-05-31,Concert Tickets,-220
2024-06-01,Monthly Salary,50000
2024-06-01,Investment Dividend,3200
2024-06-02,Rent Payment,-4500
2024-06-03,Electricity Bill,-195
2024-06-03,Internet Bill,-85
2024-06-04,Uber Ride,-24
2024-06-04,Starbucks Coffee,-14
2024-06-05,Dominos Pizza,-42
2024-06-05,Amazon Order,-256
2024-06-06,Netflix,-15.99
2024-06-06,Spotify,-9.99
2024-06-07,Grocery Store,-268
2024-06-08,Uber Ride,-37
2024-06-08,Mexican Restaurant,-98
2024-06-09,H&M Clothing,-155
2024-06-10,Phone Bill,-65
2024-06-11,Gym Membership,-80
2024-06-12,Grocery Store,-235
2024-06-13,Uber Ride,-29
2024-06-13,Coffee Shop,-15
2024-06-14,Amazon Order,-388
2024-06-15,Restaurant Dinner,-112
2024-06-16,Grocery Store,-252
2024-06-17,Cinema Tickets,-48
2024-06-18,Uber Ride,-33
2024-06-19,Water Bill,-55
2024-06-20,Adidas Shoes,-225
2024-06-21,Grocery Store,-245
2024-06-22,Coffee Shop,-13
2024-06-23,Amazon Order,-134
2024-06-24,Restaurant Lunch,-76
2024-06-25,Uber Ride,-26
2024-06-26,Pharmacy,-56
2024-06-27,Grocery Store,-228
2024-06-28,YouTube Premium,-13.99
2024-06-29,Gas Station,-112
2024-06-30,Summer Sale Shopping,-580
2024-07-01,Monthly Salary,50000
2024-07-02,Rent Payment,-4500
2024-07-03,Electricity Bill,-215
2024-07-03,Internet Bill,-85
2024-07-04,Uber Ride,-38
2024-07-04,Starbucks Coffee,-15
2024-07-05,Burger Restaurant,-28
2024-07-05,Amazon Order,-198
2024-07-06,Netflix,-15.99
2024-07-06,Spotify,-9.99
2024-07-07,Grocery Store,-278
2024-07-08,Flight Ticket,-890
2024-07-09,Hotel Booking,-1200
2024-07-10,Phone Bill,-65
2024-07-11,Doctor Visit,-225
2024-07-12,Grocery Store,-248
2024-07-13,Uber Ride,-45
2024-07-13,Coffee Shop,-17
2024-07-14,Amazon Order,-512
2024-07-15,Restaurant Dinner,-135
2024-07-16,Grocery Store,-265
2024-07-17,Water Park,-95
2024-07-18,Uber Ride,-52
2024-07-19,Water Bill,-55
2024-07-20,Nike Clothing,-345
2024-07-21,Grocery Store,-258
2024-07-22,Coffee Shop,-16
2024-07-23,Amazon Order,-289
2024-07-24,Restaurant Lunch,-82
2024-07-25,Taxi,-68
2024-07-26,Pharmacy,-42
2024-07-27,Grocery Store,-235
2024-07-28,YouTube Premium,-13.99
2024-07-29,Gas Station,-118
2024-07-30,Gym Membership,-80
2024-07-31,Freelance Bonus Income,12000
2024-08-01,Monthly Salary,50000
2024-08-02,Rent Payment,-4500
2024-08-03,Electricity Bill,-205
2024-08-03,Internet Bill,-85
2024-08-04,Uber Ride,-31
2024-08-04,Starbucks Coffee,-13
2024-08-05,KFC,-26
2024-08-05,Amazon Order,-178
2024-08-06,Netflix,-15.99
2024-08-06,Spotify,-9.99
2024-08-07,Grocery Store,-262
2024-08-08,Uber Ride,-28
2024-08-08,Thai Restaurant,-108
2024-08-09,Zara Clothing,-268
2024-08-10,Phone Bill,-65
2024-08-11,Gym Membership,-80
2024-08-12,Grocery Store,-242
2024-08-13,Uber Ride,-34
2024-08-13,Coffee Shop,-15
2024-08-14,Amazon Order,-425
2024-08-15,Restaurant Dinner,-118
2024-08-16,Grocery Store,-255
2024-08-17,Cinema Tickets,-52
2024-08-18,Uber Ride,-39
2024-08-19,Water Bill,-55
2024-08-20,H&M Clothing,-198
2024-08-21,Grocery Store,-268
2024-08-22,Coffee Shop,-14
2024-08-23,Amazon Order,-312
2024-08-24,Restaurant Lunch,-78
2024-08-25,Uber Ride,-23
2024-08-26,Pharmacy,-48
2024-08-27,Grocery Store,-245
2024-08-28,YouTube Premium,-13.99
2024-08-29,Gas Station,-108
2024-08-30,Back to School Shopping,-645
2024-08-31,Investment Dividend,2800
2024-09-01,Monthly Salary,50000
2024-09-02,Rent Payment,-4500
2024-09-03,Electricity Bill,-175
2024-09-03,Internet Bill,-85
2024-09-04,Uber Ride,-26
2024-09-04,Starbucks Coffee,-14
2024-09-05,Pizza Restaurant,-44
2024-09-05,Amazon Order,-234
2024-09-06,Netflix,-15.99
2024-09-06,Spotify,-9.99
2024-09-07,Grocery Store,-255
2024-09-08,Flight Ticket,-560
2024-09-09,Hotel Booking,-680
2024-09-10,Phone Bill,-65
2024-09-10,Doctor Visit,-180
2024-09-11,Pharmacy,-55
2024-09-12,Grocery Store,-238
2024-09-13,Uber Ride,-32
2024-09-13,Coffee Shop,-16
2024-09-14,Amazon Order,-368
2024-09-15,Restaurant Dinner,-105
2024-09-16,Grocery Store,-248
2024-09-17,Cinema Tickets,-46
2024-09-18,Uber Ride,-37
2024-09-19,Water Bill,-55
2024-09-20,Nike Shoes,-210
2024-09-21,Grocery Store,-252
2024-09-22,Coffee Shop,-15
2024-09-23,Amazon Order,-145
2024-09-24,Restaurant Lunch,-74
2024-09-25,Train Ticket,-95
2024-09-26,Pharmacy,-33
2024-09-27,Grocery Store,-228
2024-09-28,YouTube Premium,-13.99
2024-09-29,Gas Station,-102
2024-09-30,Gym Membership,-80
2024-10-01,Monthly Salary,50000
2024-10-02,Rent Payment,-4500
2024-10-03,Electricity Bill,-160
2024-10-03,Internet Bill,-85
2024-10-04,Uber Ride,-29
2024-10-04,Starbucks Coffee,-13
2024-10-05,Subway,-18
2024-10-05,Amazon Order,-278
2024-10-06,Netflix,-15.99
2024-10-06,Spotify,-9.99
2024-10-07,Grocery Store,-265
2024-10-08,Uber Ride,-35
2024-10-08,Indian Restaurant,-92
2024-10-09,Zara Clothing,-285
2024-10-10,Phone Bill,-65
2024-10-11,Gym Membership,-80
2024-10-12,Grocery Store,-245
2024-10-13,Uber Ride,-31
2024-10-13,Coffee Shop,-15
2024-10-14,Amazon Order,-398
2024-10-15,Restaurant Dinner,-122
2024-10-16,Grocery Store,-258
2024-10-17,Halloween Costume,-85
2024-10-18,Uber Ride,-44
2024-10-19,Water Bill,-55
2024-10-20,Adidas Clothing,-195
2024-10-21,Grocery Store,-272
2024-10-22,Coffee Shop,-14
2024-10-23,Amazon Order,-456
2024-10-24,Restaurant Lunch,-68
2024-10-25,Uber Ride,-28
2024-10-26,Pharmacy,-41
2024-10-27,Grocery Store,-238
2024-10-28,YouTube Premium,-13.99
2024-10-29,Gas Station,-108
2024-10-30,Freelance Bonus Income,9500
2024-10-31,Halloween Party,-145
2024-11-01,Monthly Salary,50000
2024-11-01,Investment Dividend,3800
2024-11-02,Rent Payment,-4500
2024-11-03,Electricity Bill,-172
2024-11-03,Internet Bill,-85
2024-11-04,Uber Ride,-33
2024-11-04,Starbucks Coffee,-14
2024-11-05,Burger King,-24
2024-11-05,Amazon Order,-892
2024-11-06,Netflix,-15.99
2024-11-06,Spotify,-9.99
2024-11-07,Grocery Store,-278
2024-11-08,Uber Ride,-38
2024-11-08,French Restaurant,-135
2024-11-09,H&M Clothing,-225
2024-11-10,Phone Bill,-65
2024-11-11,Black Friday Shopping,-1250
2024-11-12,Grocery Store,-255
2024-11-13,Uber Ride,-36
2024-11-13,Coffee Shop,-16
2024-11-14,Amazon Order,-678
2024-11-15,Restaurant Dinner,-115
2024-11-16,Grocery Store,-268
2024-11-17,Cinema Tickets,-44
2024-11-18,Uber Ride,-41
2024-11-19,Water Bill,-55
2024-11-20,Nike Clothing,-288
2024-11-21,Grocery Store,-262
2024-11-22,Coffee Shop,-15
2024-11-23,Amazon Order,-345
2024-11-24,Restaurant Lunch,-82
2024-11-25,Uber Ride,-27
2024-11-26,Pharmacy,-48
2024-11-27,Grocery Store,-248
2024-11-28,YouTube Premium,-13.99
2024-11-29,Gas Station,-115
2024-11-30,Cyber Monday Shopping,-980
2024-12-01,Monthly Salary,50000
2024-12-02,Rent Payment,-4500
2024-12-03,Electricity Bill,-188
2024-12-03,Internet Bill,-85
2024-12-04,Uber Ride,-35
2024-12-04,Starbucks Coffee,-15
2024-12-05,Pizza Restaurant,-48
2024-12-05,Amazon Order,-524
2024-12-06,Netflix,-15.99
2024-12-06,Spotify,-9.99
2024-12-07,Grocery Store,-288
2024-12-08,Flight Ticket,-1200
2024-12-09,Hotel Booking,-980
2024-12-10,Phone Bill,-65
2024-12-10,Doctor Visit,-195
2024-12-11,Pharmacy,-62
2024-12-12,Grocery Store,-265
2024-12-13,Uber Ride,-42
2024-12-13,Coffee Shop,-17
2024-12-14,Christmas Shopping,-1850
2024-12-15,Restaurant Dinner,-145
2024-12-16,Grocery Store,-278
2024-12-17,Cinema Tickets,-56
2024-12-18,Uber Ride,-48
2024-12-19,Water Bill,-55
2024-12-20,Christmas Gifts,-2200
2024-12-21,Grocery Store,-295
2024-12-22,Coffee Shop,-16
2024-12-23,Amazon Order,-445
2024-12-24,Christmas Eve Dinner,-285
2024-12-25,Restaurant Lunch,-125
2024-12-26,Uber Ride,-38
2024-12-27,Pharmacy,-52
2024-12-28,Grocery Store,-255
2024-12-29,YouTube Premium,-13.99
2024-12-30,Gas Station,-122
2024-12-31,New Year Party,-380
